name,slug,sku_code,category,unit,unit_cost_cents,margin_percent,stock_qty,image_slug
Faca Artesanal Personalizada,faca-artesanal-personalizada,CUT-001,Cutelaria,UN,18000,30,0,faca-artesanal-personalizada
Faca Artesanal Personalizada Pequena,faca-artesanal-personalizada-pequena,CUT-002,Cutelaria,UN,15000,30,0,faca-artesanal-personalizada-pequena
Faca Força Tática Personalizada,faca-forca-tatica-personalizada,CUT-003,Cutelaria,UN,7500,30,0,faca-forca-tatica-personalizada
Fiel Retrátil,fiel-retratil,ACE-001,Acessórios e Utilidades,UN,4550,30,0,fiel-retratil
Fivela para Cinto PM,fivela-para-cinto-pm,EQT-008,Equipamentos Táticos,UN,3250,30,0,fivela-para-cinto-pm
IFAK Spartan,ifak-spartan,PRI-001,Primeiros Socorros,KIT,5000,30,0,ifak-spartan
Kit Premium de Limpeza de Armamento,kit-premium-de-limpeza-de-armamento,LIM-001,Limpeza e Manutenção,KIT,5000,30,0,kit-premium-de-limpeza-de-armamento
Lanterna Dedicada TrustFire GM35,lanterna-dedicada-trustfire-gm35,ILU-001,Iluminação,UN,29500,30,0,lanterna-dedicada-trustfire-gm35
Lanterna Dedicada TrustFire GM23,lanterna-dedicada-trustfire-gm23,ILU-002,Iluminação,UN,20000,30,0,lanterna-dedicada-trustfire-gm23
Lanterna Tática Sofirn SP35T,lanterna-tatica-sofirn-sp35t,ILU-003,Iluminação,UN,18604,30,0,lanterna-tatica-sofirn-sp35t
Lanterna Tática Sofirn SC31T,lanterna-tatica-sofirn-sc31t,ILU-004,Iluminação,UN,15500,30,0,lanterna-tatica-sofirn-sc31t
Láurea de Couro 1º Grau,laurea-de-couro-1o-grau,INS-015,Insígnias e Identificação,PAR,3350,30,0,laurea-de-couro-1o-grau
Láurea de Couro 2º Grau,laurea-de-couro-2o-grau,INS-016,Insígnias e Identificação,PAR,2300,30,0,laurea-de-couro-2o-grau
Láurea de Couro 3º Grau,laurea-de-couro-3o-grau,INS-017,Insígnias e Identificação,PAR,2600,30,0,laurea-de-couro-3o-grau
Láurea de Couro 4º Grau,laurea-de-couro-4o-grau,INS-018,Insígnias e Identificação,PAR,2600,30,0,laurea-de-couro-4o-grau
Láurea de Couro 5º Grau,laurea-de-couro-5o-grau,INS-019,Insígnias e Identificação,PAR,2600,30,0,laurea-de-couro-5o-grau
Porta-Algemas Spartan,porta-algemas-spartan,CPE-006,Coldres e Porta-Equipamentos,UN,3500,30,0,porta-algemas-spartan
Porta-Carregador de Pistola Kydex Spartan,porta-carregador-de-pistola-kydex-spartan,CPE-007,Coldres e Porta-Equipamentos,UN,6000,30,0,porta-carregador-de-pistola-kydex-spartan
Porta-Carregador de Pistola Spartan,porta-carregador-de-pistola-spartan,CPE-008,Coldres e Porta-Equipamentos,UN,4500,30,0,porta-carregador-de-pistola-spartan
"Porta-Carregador de Fuzil 5,56 Spartan",porta-carregador-de-fuzil-556-spartan,CPE-009,Coldres e Porta-Equipamentos,UN,4500,30,0,porta-carregador-de-fuzil-556-spartan
"Porta-Carregador de Fuzil 7,62 Spartan",porta-carregador-de-fuzil-762-spartan,CPE-010,Coldres e Porta-Equipamentos,UN,4500,30,0,porta-carregador-de-fuzil-762-spartan
Porta-Celular Preto Spartan,porta-celular-preto-spartan,CPE-011,Coldres e Porta-Equipamentos,UN,3500,30,0,porta-celular-preto-spartan
Porta-Celular Cinza Spartan,porta-celular-cinza-spartan,CPE-012,Coldres e Porta-Equipamentos,UN,3500,30,0,porta-celular-cinza-spartan
Porta-Rádio HT,porta-radio-ht,CPE-013,Coldres e Porta-Equipamentos,UN,6000,30,0,porta-radio-ht
Porta-Alicate Spartan,porta-alicate-spartan,CPE-014,Coldres e Porta-Equipamentos,UN,3500,30,0,porta-alicate-spartan
Porta-Lanterna Spartan,porta-lanterna-spartan,CPE-015,Coldres e Porta-Equipamentos,UN,2500,30,0,porta-lanterna-spartan
Porta-Cassetete,porta-cassetete,CPE-016,Coldres e Porta-Equipamentos,UN,1800,30,0,porta-cassetete
Porta-Tonfa,porta-tonfa,CPE-017,Coldres e Porta-Equipamentos,UN,3200,30,0,porta-tonfa
Porta-Torniquete de Saque Rápido Spartan,porta-torniquete-de-saque-rapido-spartan,PRI-002,Primeiros Socorros,UN,2500,30,0,porta-torniquete-de-saque-rapido-spartan
Presilhas de Nylon para Cinto PM,presilhas-de-nylon-para-cinto-pm,EQT-009,Equipamentos Táticos,PAR,800,30,0,presilhas-de-nylon-para-cinto-pm
Short de Atividade Física PM Spartan,short-de-atividade-fisica-pm-spartan,FAR-008,Fardamento e Vestuário,UN,3500,30,0,short-de-atividade-fisica-pm-spartan
Short de Atividade Física PM com Térmico Spartan,short-de-atividade-fisica-pm-com-termico-spartan,FAR-009,Fardamento e Vestuário,UN,5500,30,0,short-de-atividade-fisica-pm-com-termico-spartan
Short Térmico Spartan,short-termico-spartan,FAR-010,Fardamento e Vestuário,UN,4000,30,0,short-termico-spartan
Torniquete Desmodus,torniquete-desmodus,PRI-003,Primeiros Socorros,UN,27600,30,0,torniquete-desmodus
Torniquete CAT Gen 7,torniquete-cat-gen-7,PRI-004,Primeiros Socorros,UN,19500,30,0,torniquete-cat-gen-7
Kit Torniquete Desmodus com Porta-Torniquete,kit-torniquete-desmodus-com-porta-torniquete,PRI-005,Primeiros Socorros,KIT,350,30,0,kit-torniquete-desmodus-com-porta-torniquete
Porta-Torniquete,porta-torniquete,PRI-006,Primeiros Socorros,UN,4500,30,0,porta-torniquete
Adesivo Força Tática,adesivo-forca-tatica,SOU-008,Souvenires,UN,500,30,0,adesivo-forca-tatica
Amendoim,amendoim,LAN-003,Lanches e Snacks,UN,200,30,0,amendoim
